epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
34,1989.65,1.83594,2.68519,1.45835,0.00821,1.28369,0.62677,0.44664,0.55356,0.34234,0.60985,0.43434,0.53915,0.31234,1.80486,2.75771,1.48264,0.01032,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2047.41,1.84619,2.69183,1.46827,0.00824,1.29569,0.67131,0.41374,0.55599,0.34732,0.65735,0.40461,0.54647,0.31458,1.83113,2.73127,1.48946,0.01047,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2104.83,1.82518,2.65142,1.4494,0.00826,1.26425,0.68631,0.40637,0.56163,0.3546,0.66654,0.39542,0.54862,0.31909,1.80139,2.78887,1.46436,0.01021,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2162.46,1.82572,2.65503,1.44411,0.0082,1.2463,0.65209,0.42211,0.55311,0.34174,0.63315,0.41076,0.53844,0.30611,1.81737,2.74767,1.49983,0.01031,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2219.9,1.83144,2.65486,1.43431,0.00818,1.26771,0.67918,0.42121,0.56264,0.35244,0.65558,0.40691,0.545,0.3136,1.80947,2.70217,1.44919,0.01033,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2277.79,1.832,2.66688,1.4491,0.00823,1.26065,0.66527,0.41272,0.5549,0.3475,0.64475,0.40001,0.53903,0.30854,1.79018,2.74508,1.4778,0.01021,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2335.13,1.82052,2.64447,1.43688,0.0082,1.23992,0.64749,0.44108,0.56198,0.35231,0.62871,0.42818,0.54645,0.31796,1.79465,2.72209,1.46328,0.01019,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2392.94,1.83034,2.64616,1.42903,0.00819,1.23576,0.69602,0.4174,0.57115,0.35987,0.67772,0.40661,0.55757,0.32615,1.79251,2.68962,1.4476,0.01019,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2450.21,1.81481,2.63796,1.43026,0.00813,1.25031,0.64034,0.43082,0.54851,0.33464,0.62011,0.41664,0.53327,0.29675,1.84887,2.7515,1.48663,0.01049,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2508.29,1.83662,2.642,1.42502,0.00818,1.23484,0.67208,0.42397,0.56434,0.35594,0.65198,0.41093,0.54774,0.32127,1.79088,2.72789,1.45411,0.01011,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2565.73,1.82456,2.64002,1.41624,0.00808,1.22003,0.64506,0.45069,0.56487,0.35093,0.62642,0.43721,0.54911,0.31328,1.7973,2.67465,1.43949,0.01026,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2623.46,1.82154,2.62792,1.4084,0.00808,1.21433,0.6781,0.41516,0.56163,0.35608,0.65535,0.40156,0.54465,0.31691,1.76991,2.73212,1.47213,0.00989,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2680.89,1.82995,2.62762,1.41101,0.00808,1.19126,0.69728,0.41655,0.57209,0.35857,0.67275,0.40247,0.55356,0.324,1.80939,2.69034,1.43977,0.01024,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
